"id_comentario"	"comment"	"clase_comentario"
"comment_id_1"	"Muy bueno todo. Un poco larga la espera."	"Excelente"
"comment_id_100009"	"Fuí para mi cumpleaños areamos 10 personas, todo salió impecable, las carnes todas en su pùnto, la atención muy atenta sin invadir, el ambiente muy de aprrilla de barrio con una gran cava de vinos."	"Excelente"
"comment_id_100014"	"El sald excelente, la atencio del mozo muy buena nos aconsejo para no pedir de mas, los platos abundantes, es cierto que las mesas estan muy juntas, pero pasamos un rato ameno me gusto"	"Muy buena"
"comment_id_100034"	"La atencion excelente! estuvimos en los box y son muy reservados, la comida es muy fresca y rica!"	"Buena"
"comment_id_100034"	"Muy recomendable"	"Buena"
"comment_id_100068"	"Muy bueno el sandwich de focaccia con mortadella y mozzarela; el ambiente sigue siendo canchero y con onda. También mejoró la atención que en mi primera visita había sido malísima, gracias a Lorena porque a pesar de que hubo un error con el pedido lo subsanaron enseguida. Me gustó"	"Muy buena"
"comment_id_100092"	"El otro dia vinimos a almorzar y notamos una tremenda desmejoria en este bar que tanto nos gustaba."	"Malo"
"comment_id_100092"	"Los precios son delirantes, una ensalada servida en un palto plano, llena de hojas verdes, con un minimo pedacito de palta (esta anunciada como ensalada de palta) cuesta 30 pesos. Un sandwich 40 pesos."	"Malo"
"comment_id_100092"	"La atencion es muy mala. Todo es a desgano y sin onda."	"Malo"
"comment_id_100092"	"el lugar es muy lindo y algunas cosas son sabrosas, pero no cuesta nada servir una ensalada en un boul, con abundantes ingredientes, y tener un poco más de respeto con los precios."	"Malo"
"comment_id_100131"	"Probablemnte el mejor sushi de Buenos Aires, muy fresco y excelente tamaño de porciones, en especial el sashimi."	"Excelente"
"comment_id_100131"	"La carta de vinos es demasiado escueta, deberian sino agrandarla ofrecer Descorche....una pena."	"Excelente"
"comment_id_100131"	"Buena relacion precio calidad. Volveré y volveré y volveré."	"Excelente"
"comment_id_100147"	"Pido siempre delivery o voy a comprar empanadas. que son verdaderamente MUY BUENAS. Caseras, grandes y cargadas."	"Muy buena"
"comment_id_100147"	"Las pizzas son muy buenas.... pero no como para decir que son las mejores de Bs.As."	"Muy buena"
"comment_id_100150"	"La ambientacion no es nada del otro mundo, pero las piezas de sushi son verdaderamente EXCELENTES."	"Excelente"
"comment_id_100150"	"Un par de veces comi algunos platos (-DON), y he probado mejores, pero me quedo con las piezas de Sushi. "	"Excelente"
"comment_id_100150"	"Recomiendo probar el SALMON-SKIN (Piezas con escamas de salmon)"	"Excelente"
"comment_id_100156"	"Segunada vez que voy. Son muy recomendables las  dos bandejas que traen diferentes platitos diferentes. La mas barata es mas abundante pero la otra trae un tempura muy bueno. Seguramente vaya una tercera vez."	"Excelente"
"comment_id_10016"	"Excelente comida, ambiente y atención, las pastas son geniales igual que los postres."	"Excelente"
"comment_id_100161"	"Señores, sin lugar a dudas la mejor pizza de Buenos Aires. La onda del lugar es de lo mejor y la atención excelente. Además, tienen una gran variedad de platos muy buenos y originales. Date una vuelta, no te vas a arrepentir. Felicitaciones!!!"	"Excelente"
"comment_id_100178"	"La comida es buena pero nada de otro mundo, en mi caso pedí añolotis de cantimpalo a la crema y el plato estaba demasiado salado. El servicio es bueno y el ambiente es acogedor."	"Buena"
"comment_id_100204"	"Fui a conocer el nuevo menú en este local recientemente abierto y salí satisfecha pero sin llegar al excelente. Lo bueno: la calidad de siempre del sushi y la armoniosa ambientación con mucho espacio entre las mesas. Lo malo: en la planta alta hay que cuidar un poco el tema de los olores a comida; además no me gustaron algunas de las nuevas creaciones de la carta (por ejemplo los rolls transparentes de agar agar). De todos modos, Sushiclub te asegura una velada placentera"	"Muy buena"
"comment_id_100223"	"Grandes pastas en un bodegón auténtico (prestar atención a los detalles) La cantidad de salsas es adecuada y tradicionales, el punto de las pastas es bueno y el sabor estupendo. Hay pocos mozos, pero la experiencia lo vale."	"Muy buena"
"comment_id_100288"	"Clásica cantina de la zona."	"Muy buena"
"comment_id_100288"	""	"Muy buena"
"comment_id_100288"	"Si te gusta ese formato, te lo recomiendo. Sobre todo por la comida."	"Muy buena"
"comment_id_100315"	"Muy buen sushi y algo irregulares los pescados y mariscos. Buen ambiente , excelente atencion."	"Muy buena"
"comment_id_100319"	"Fui con muchas expectativas y aunque comimos bien he probado mejores pastas en otros lugares. La carta es tentadora y prometedora, pero despues la comida fue buena, pero no increible. El servicio que nos toco fue muy bueno y el ambiente tranquilo y relajado. No se si vuelvo pero admito que se come bien igualmente."	"Buena"
"comment_id_100320"	"Agradable parrilla de Almagro y con ambiente sencillo. La parrilada muy completa aunque no se destaca la calidad, ricas ensaladas. La atención fue correcta teniendo en cuenta que nuestra mesa era de 30 personas."	"Buena"
"comment_id_100391"	"Este es uno de mis restaurantes favoritos. Para aquellos que disfrutan de una buena parrilla ésta es una de las mejores opciones. La relación precio/calidad es excelente. Muy buena calidad en los cortes, en las achuras, en los vinos. Muy buena atención y un ambiente realmente agradable. Para ir al mediodía o a la noche y repetir la visita. En mi opinión un buen menú consiste en empezar con una tabla de achuras (media, si son dos) con ensalada/papas fritas y seguir con algun corte de carne; entraña, tira, bondiola de cerdo. Cualquiera de los cortes es una buena opción."	"Excelente"
"comment_id_100401"	"Un lugar para comer excelentes pastas, las rellenas super originales, a precios razonables.  Excelentes los ravioles de Salmón estilo asiático y los de j crudo con tomate seco y crema de Puerros.  El resto comió cintas caseras muy buenas y el último prefirió tallarines Don Vicente (Para un Brasilero como este comenzal los Don Vicente un producto soñado jajajaj) Con tres cazuelitas de entrada, dos botellas de trapiche malbec, dos sodas de litro, dos cocas cero, un postre y café la cuenta fue de 249,  Volverè N veces hasta probar todas las pastas rellenas."	"Muy buena"
"comment_id_100406"	"excelente sushi, uno de los mejores de buenos aires. el ambiente no es lindo, pero el precio lo compensa. las piezas son grandes y la atención es cordial."	"Excelente"
"comment_id_100408"	"Excelente lugar en Caballito, Super recomendable en pastas, con el beneficio de tener platos de pastas, con dos tipos distintos y sus salsas respectivas.una carta de postres a buen precio donde se destaca la copa Vittorio.Una ambientacion correcta, un servicio de mesa mímimo y una atención esmerada lo hacen imperdible en la zona.Un detalle menor: la bebida gaseosa es en lata algo que me suena impresentable en el contexto de excelencia que uno disfruta en Vittorio."	"Excelente"
"comment_id_10047"	"Muy buen ambiente, tranquilo y cómodo."	"Muy buena"
"comment_id_100489"	"El lugar es agradable, con un estilo tipo bodegon y mucha decoración italiana."	"Muy buena"
"comment_id_100489"	"Pedimos pastas (ravioles de pollo y verdura con salsa nduja y ravioles de cordero con bolognesa) las cuales estuvieron muy bien aunque existen en la ciudad mejores opciones. Los platos fueron abundantes y la atencion muy buena, amable y expeditiva."	"Muy buena"
"comment_id_100489"	"Una contra que tiene Pierino es que sólo aceptan pago en efectivo, si van tengan en cuenta este detalle."	"Muy buena"
"comment_id_100489"	"En resumen, una buena opcion si están por el barrio de Abasto, ya que los precios de sus platos no son altos y la experiencia en general es buena."	"Muy buena"
"comment_id_100497"	"Fui con mi mujer y mis hijos. Probé un poco de cada plato y fue desparejo. Los chinchulines dejaban que desear pero el cordero estaba muy bueno. Los ribbs de cerdo, pasables. La carta de vinos correcta."	"Buena"
"comment_id_100497"	"Los precios me parecieron elevados."	"Buena"
"comment_id_100509"	"Siendo su nombre el club de la milanesa, entre con la idea de que eran especialistas en el tema, y me lleve una decepciòn. Las milanesas estan super recalentadas, la carne se ve negra debido a ello. Tardaron muchisimo tiempo en traer el pedido. Demasiado caro "	"Malo"
"comment_id_100509"	"No lo recomiendo para nada"	"Malo"
"comment_id_100541"	"Me parece excelente el nivel de comida de este lugar, si bien a veces es ruidoso, no nos cansamos de ir,lo mejor de esta parte del barrio. El servicio es correcto (solo correcto) y el ambiente se podria mejorar, espero que mantengan el nivel de la cocina, y sigan cocinando de la misma manera. Fran."	"Excelente"
"comment_id_100571"	"El lugar es lindo, normal, esta ubicado en una esquina de moda, con lo cual se junta mucha gente y a veces hay que esperar para comer. Por suerte, consegui mesa rapido con lo cual no tuve ese problema. El servicio es completamente despreocupado y distendido y las carnes nada fuera de lo comun: estan bien, pero nada excepcional."	"Buena"
"comment_id_100580"	"Desmejoró MUCHO la atención, ya es hora de que incluyan las tarjetas como medio de pago y resuelvan el asunto del olor a comida (huelansé la ropa al salir y me darán la razón)."	"Buena"
"comment_id_100580"	"Bien por el café, por los coquitos y el pan."	"Buena"
"comment_id_100580"	"Una pena no haber encontrado a una moza atentísima que me atendió la última vez que fui, el staff masculino no se destaca por su eficiencia en el servicio precisamente."	"Buena"
"comment_id_100648"	"Que lugar tan especial!!!!, un hidden-bar en toda regla, solo falta que te pidan contraseña!"	"Muy buena"
"comment_id_100648"	"El lugar tiene toda la onda, los tragos estan muy bien hechos, comimos todas cosas para picar que estaban muy bien, pero sobre todo es muy destacable, la excelentisima antencion. Nos mimaron como en muy pocos lugares. No se pierdan esta experiencia!!!"	"Muy buena"
"comment_id_100693"	"El lugar esta bueno, tiene onda.Comimos en el patio, es un poco chico pero estuvo bien.La comida y la atencion son muy buenas.A mis amigos extranjeros les gusto mucho la comida y el lugar tambien."	"Muy buena"
"comment_id_100695"	"Fuimos muy bien atendidos y el lugar si bien no tiene nada para destacar está bien puesto. La comida me parecio regular y la entrega de carne en la mesa se demora mucho."	"Malo"
"comment_id_100721"	"Excelentes raviones de gustos muy originales. Probamos los de batata y salsa de 4 quesos y tambien los de bondiola de cerdo con hongos. Muy atentos en la atencion. Precios muy razonables. Vamos a volver varias veces a probar otros gustos de ravioles."	"Muy buena"
"comment_id_100733"	"Fuimos en pareja con la idea de comer una rica parrillada,si bien  lo que nos trajeron estaba rico esperabamos algo mejor,era abundante pero muy poco variada,no tenia asado de tira incluido.La atencion muy buena, aunque la moza estaba a full asi que se demoro bastante nuestra comida.La carta de vinos escasa, elegimos entre las pocas opciones que habian.A la hora de elegir no se si volveriamos."	"Buena"
"comment_id_100735"	"Vivo en la zona. La esquina es excelente. El lugar lindìsimo y con mucha onda. Lo ùnico MALO MALO MALO es el servicio. SON UN DESASTRE. Las dueñas parecen no darse cuenta. Apàticos. Mal gestados. Con los pies pesados. Te atienden sin ganas. Como que te hacen el favor. Tenès que tirar vengalas para que vengan. Ves como la gente se desespera para llamarlo y que vengan! DUEÑAS: HAGAN ALGO POR  FAVOR!!!!!!!!! La inercia algùn dia se acaba!!"	"Buena"
"comment_id_100755"	"Tuvimos el impulso de averiguar si en Il Ballo había menú de noche vieja para finalizar el 2009 y arrancar el nuevo año con los muchachos del restó. Nos dijeron que sí y supieron cumplir y sobrepasar lo prometido. Es difícil darle de comer a tanta gente esa noche y ponerle tanta onda. El menú se basó en platos simples pero muy ricos. El que nunca fue a Il Ballo no debería perdérselo. Tiene mucha onda (sus dueños y su gente se esmeran muchísimo)."	"Muy buena"
"comment_id_100772"	"Buen servicio, buena ambientación, mesas comodas y con buena distancia entre unas y otras. Demasiado baja la luz y el primer piso se nota el olor a la cocina. Bien preparado el sushi. Los postres excelentes (creme broulette y flan de chocolate blanco). Sin ser magnifico es recomendable"	"Muy buena"
"comment_id_100797"	"El servicio es muy deficiente. Tardaron una hora en traer el pedido. Las porciones abundantes."	"Buena"
"comment_id_100801"	"Un lugar altamente recomendable."	"Excelente"
"comment_id_100801"	"Mantiene muy buena relacion de precio y calidad. Desde la panera hasta las pastas,absolutamente nada tiene desperdicio.La atencion es muy amable estan en los minimos detalles."	"Excelente"
"comment_id_100801"	"Una cantina Italiana realmente entrañable."	"Excelente"
"comment_id_100807"	"Fui con un amigo que no veia hace mucho..."	"Buena"
"comment_id_100807"	""	"Buena"
"comment_id_100807"	"Tanto la comida como la atención son correctas..."	"Buena"
"comment_id_100807"	""	"Buena"
"comment_id_100807"	"El lugar es muy ruidoso, por lo que es ideal para ir con amigos y hacer una panzada de comida... al ser parrilla libre mucho no se le puede exigir, pero bueno cumple..."	"Buena"
"comment_id_100807"	""	"Buena"
"comment_id_100807"	"Por ahi vuelva... por ahi no..."	"Buena"
"comment_id_100824"	"La Parolaccia es un clásico que nunca falla,todo es muy parejo, las entradas y las pastas son siempre excelentes,al igual que los postres, las porciones son abundantes, la atención es muy cordial el ambiente es agradable."	"Excelente"
"comment_id_100825"	"Este lugar es increíble! Con aspecto de viejo almacén, con mostradores y todo, se especializan en pastas. Nosotros comimos ensaladas, las dos deliciosas costaba decidirse. Una limonada increíble con menta y un licuado de durazno y naranja."	"Excelente"
"comment_id_100825"	"Estoy feliz de que esté por el barrio, porque es un lugar para ir seguido, por lo rico, lo original, la variedad de la carta y lo barato."	"Excelente"
"comment_id_100825"	"Me van a ver mucho por ahí!"	"Excelente"
"comment_id_100837"	"Pierino intenta hablar italiano, pero apenas logra tartamudear un cocoliche. El ambiente, con más aires porteños que de cantina, se sufrió por culpa de la falta de aire acondicionado. El antipasto estuvo muy bueno, especialmente en los zapallitos a la milanesa. Nos quedamos con la duda de si la cazuela de lomo y los ravioles de hongos eran buenos: no había, y tardaron en avisarnos más de lo deseable. En todo lo demás, fue óptimo el servicio de los mozos (rotativos). Los ravioles de cordero y fontina eran muy buenos. Las salsas, algo más desparejas: a la \\"Pierino\\" no se le encontró gorgonzola, y a la de tomates secos le faltó pomodoro y le sobró aceite. A los postres, el tiramisú le sacó mucha ventaja al brownie (cosa que habla peor del brownie que bien del tiramisú). No es mala opción, pero entiendo que hay mejores y más baratas."	"Buena"
"comment_id_100842"	"Un clásico de Belgrano, la comida es muy buena, no tanto el ambiente, un poco apagado y tradicional."	"Muy buena"
"comment_id_100842"	"Pero de las mejores pizzas de la zona."	"Muy buena"
"comment_id_100848"	"Fui a través de la identificación de la guía y fue una agradable sorpresa. Fue el mejor bife chorizo que comí en la vida, por no mencionar que era muy grande. Mi padre, mi madre y mi novia también comieron y adorado. El servicio era muy agradable. Como yo soy brasileño, no entiendo muy bien el significado de las carnes y el camarero me llevó a hablar con parrileiro que fue muy amable me mostró toda la carne. Cuando regreso a la Argentina luego ir allí de nuevo. Nota 10!"	"Excelente"
"comment_id_100851"	"Yo, mi novia, mi padre y mi madre estábamos hacendo compras en la avenida Córdoba y decidió ir a La Cava Jufré, pero estaba cerrado, fuimos entonces sin conecer a la Mamma Rosa. ¿Qué agradable sorpresa, un costo-beneficio excelente, un servicio sencillo y honesto, y un ambiente agradable. Muy buena opción para el almuerzo, con el fin de costo-efectiva, porque los platos son grandes."	"Muy buena"
"comment_id_100853"	"Malisimo, me cayo muy mal la comida ya que se ve que la fritura es en aceite re contra usado. Tanto la milanesa como los bastoncitos de mozzarella no eran para nada buenos y la indigestion posterior memorable..."	"Malo"
"comment_id_100894"	"Es un buen lugar para comer. En el piso de arriba hacen karate y se escuchan los gritos del doyo lo cual le da una atmósfera algo más oriental. Referiendome a la comida resultó atípicamente buena. El arroz del sushi tiene un nosequé distinto al resto, digno de ser probado. La variedad en el surtido es bastante buena y las piezas son para hombres en etapa de desarrollo (suculentas). La ambientación tiene la clásica austeridad oriental, para ver fastuosidades está disneylandia."	"Muy buena"
"comment_id_100904"	"Pedimos combinado de sushi y nos sorprendió la calidad y tamaño de las piezas. Tanto la entrada (es un primer piso) como el salón no son muy acogedores. Recomendable para ir con amigos. Buena relación precio/calidad."	"Muy buena"
"comment_id_100905"	"Excelente la comida, el servicio fue correcto y bastante rapido. Muy recomendables los tiraditos con salsa de maracuya, y el sushi crocante.  Muy limpio todo. Sorprende que si uno llega sin reserva, aunque uno llegue temprano y este vacio, no te sientan en una mesa. Pareciera que \\"no esta bien\\" que puedas sentarte sin reserva."	"Excelente"
"comment_id_100921"	"Un lugar UNICO."	"Excelente"
"comment_id_100921"	"Fuimos con un grupo de amigos, entre los cuales había un español y bautizamos el \\"estilo\\" de Don Carlos como TAPEO PORTEÑO."	"Excelente"
"comment_id_100921"	"Se come todo lo relacionado a la cultura argentina fundada en sus raices inmigrantes; asado, pastas, pescado y hasta postres franceses. Todos y cada uno de los platos que probamos estaban en su punto exacto. Demás está decir que se come lo que Carlos y su agradabilísima familia te traen a la mesa. No vale la pena preocuparse por una carta, uno entra al lugar y se entrega al estilo de la casa. Completan la experiencia, conversar con el dueño y su familia."	"Excelente"
"comment_id_100941"	"Caminando con mi novia por palermo, charlando acerca de donde podíamos comer unas ricas ensaladas, una mujer pasa por al lado nuestro (resultó ser la dueña) y nos recomienda este bar. Una afortunada casualidad. Las ensaladas y sandwiches están muy bien(los panes son excelentes). También recomiendo la limonada y los postres. El ambiente es calido, aunque si esta lleno puede tornarse un poco ruidoso. El servicio estuvo bien (pese a que nos terminaron de servir la limonada para reutilizar la jarra), aunque al ser un lugar pequeño terminas siendo espectador de las charlas/discusiones del personal"	"Muy buena"
"comment_id_100945"	"La comida es excelente. El sushi es de lo mejor de Buenos Aires, la calidad de los ingredientes es de primera. El yakimeshi de salmón impecable. Me quedé con ganas de probar los postres. Lo recomiendo."	"Excelente"
